"Specie","Freq"
"Begonia parvistipulata",2
"Begonia per-dusenii",12
"Begonia pilgeriana",42
"Begonia polyandra",22
"Begonia radicans",154
"Begonia rupium",3
"Begonia scharffii",7
"Begonia schenckii",1
"Begonia semperflorens",2
"Begonia squamipes",7
"Begonia stenolepis",7
"Begonia subvillosa",10
"Berberis campos-portoi",2
"Berberis kleinii",4
"Berberis laurina",62
"Bernardia polymorpha",1
"Bernardia pulchella",101
"Bernardia sellowii",1
"Bertolonia acuminata",21
"Bertolonia mosenii",190
"Bidens laevis",5
"Bidens segetum",5
"Bifrenaria aureofulva",43
"Bifrenaria harrisoniae",31
"Bifrenaria inodora",11
"Bifrenaria tetragona",3
"Bignonia binata",1
"Bignonia sciuripabulum",5
"Billbergia alfonsi-joannis",8
"Billbergia amoena",12
"Billbergia distachia",75
"Billbergia nutans",73
"Billbergia schimperiana",1
"Billbergia zebrina",22
"Bixa orellana",6
"Blechnum acutum",28
"Blechnum auriculatum",7
"Blechnum austrobrasilianum",31
"Blechnum brasiliense",100
"Blechnum cordatum",55
"Blechnum divergens",10
"Blechnum gracile",9
"Blechnum laevigatum",1
"Blechnum occidentale",69
"Blechnum penna-marina",2
"Blechnum polypodioides",137
"Blechnum sampaioanum",31
"Blechnum schomburgkii",19
"Blechnum serrulatum",39
"Blepharocalyx salicifolius",62
"Blumenbachia catharinensis",5
"Blumenbachia eichleri",6
"Blumenbachia latifolia",7
"Blutaparon portulacoides",19
"Boehmeria caudata",150
"Boehmeria cylindrica",38
"Bolbitis serratifolia",4
"Bolboschoenus robustus",4
"Bomarea edulis",44
"Boopis bupleuroides",2
"Borreria dasycephala",8
"Borreria poaya",10
"Borreria tenella",3
"Bothriochloa catharinensis",4
"Bothriochloa exaristata",3
"Bothriochloa laguroides",2
"Bothriochloa velutina",1
"Botrypus virginianus",1
"Bouchea fluminensis",8
"Bougainvillea glabra",19
"Bougainvillea spectabilis",6
"Bowlesia incana",6
"Brachystele camporum",2
"Brachystele subfiliformis",1
"Brasiliorchis chrysantha",1
"Brasiliorchis marginata",9
"Brasiliorchis picta",75
"Brasiliorchis porphyrostele",10
"Brassavola tuberculata",8
"Breutelia subtomentosa",1
"Bromelia antiacantha",9
"Bromelia balansae",3
"Bromidium ramboi",8
"Bromus auleticus",5
"Bromus brachyanthera",10
"Bromus catharticus",5
"Brosimum glaziovii",7
"Brosimum lactescens",22
"Bruchia aurea",1
"Brunfelsia australis",15
"Brunfelsia brasiliensis",6
"Brunfelsia cuneifolia",16
"Brunfelsia pauciflora",54
"Brunfelsia pilosa",22
"Brunfelsia uniflora",36
"Bryohumbertia filifolia",2
"Bryopteris diffusa",6
"Bryopteris filicina",3
"Bryum apiculatum",1
"Bryum argenteum",9
"Buchenavia kleinii",25
"Buchnera integrifolia",3
"Buchnera longifolia",7
"Buddleja elegans",28
"Buddleja grandiflora",15
"Buddleja hatschbachii",4
"Buddleja kleinii",14
"Buddleja ramboi",1
"Buddleja stachyoides",70
"Buddleja thyrsoides",7
"Bulbophyllum atropurpureum",1
"Bulbophyllum glutinosum",24
"Bulbophyllum granulosum",24
"Bulbophyllum meridense",1
"Bulbophyllum micranthum",1
"Bulbophyllum napelli",1
"Bulbophyllum napellii",22
"Bulbophyllum regnellii",16
"Bulbostylis brevifolia",3
"Bulbostylis capillaris",16
"Bulbostylis communis",1
"Bulbostylis consanguinea",12
"Bulbostylis glaziovii",3
"Bulbostylis juncoides",32
"Bulbostylis scabra",1
"Bulbostylis sphaerocephala",19
"Bulbostylis subtilis",2
"Bulbostylis vestita",2
"Bunchosia maritima",78
"Bunchosia pallescens",21
"Burmannia alba",1
"Burmannia australis",2
"Butia capitata",2
"Butia catarinensis",8
"Butia eriospatha",10
"Byrsonima ligustrifolia",139
"Byrsonima niedenzuiana",1
"Byttneria australis",65
"Byttneria hatschbachii",5
"Byttneria oblongata",1
"Cabomba caroliniana",1
"Cabralea canjerana",164
"Caesalpinia echinata",1
"Caesarea albiflora",32
"Caladium bicolor",2
"Calamagrostis alba",1
"Calamagrostis reitzii",1
"Calamagrostis rupestris",7
"Calamagrostis viridiflavescens",48
"Calathea monophylla",26
"Calea cymosa",6
"Calea ilienii",1
"Calea phyllolepis",7
"Calea pinnatifida",67
"Calea triantha",5
"Calea uniflora",10
"Calibrachoa caesia",16
"Calibrachoa eglandulata",8
"Calibrachoa excellens",39
"Calibrachoa heterophylla",6
"Calibrachoa linoides",45
"Calibrachoa parviflora",2
"Calibrachoa sellowiana",67
"Calibrachoa sendtneriana",6
"Calibrachoa serrulata",5
"Calibrachoa spathulata",10
"Callaeum psilophyllum",4
"Calliandra brevipes",44
"Calliandra foliolosa",15
"Calliandra tweedii",18
"Callianthe amoena",4
"Callianthe fluviatilis",2
"Callianthe muelleri-friderici",3
"Callianthe rufinerva",17
"Callicostella martiana",3
"Callicostella merkelii",4
"Callicostella microcarpa",1
"Callicostella pallida",9
"Callisia monandra",6
"Callisia repens",9
"Callisthene kuhlmannii",3
"Callitriche lechleri",3
"Callitriche rimosa",5
"Calolisianthus pedunculatus",2
"Calophyllum brasiliense",33
"Calopogonium caeruleum",2
"Calopogonium mucunoides",4
"Calydorea approximata",2
"Calydorea basaltica",2
"Calydorea campestris",9
"Calydorea crocoides",7
"Calymperes afzelii",2
"Calypogeia laxa",5
"Calypogeia peruviana",2
"Calyptocarpus biaristatus",28
"Calyptraemalva catharinensis",10
"Calyptranthes brasiliensis",11
"Calyptranthes concinna",51
"Calyptranthes grandifolia",17
"Calyptranthes lanceolata",2
"Calyptranthes lucida",42
"Calyptranthes obovata",2
"Calyptranthes pileata",11
"Calyptranthes rubella",13
"Calyptranthes strigipes",8
"Calyptranthes tricona",24
"Calyptrocarya glomerulata",5
"Calystegia brummittii",4
"Camaridium carinatum",4
"Camaridium vestitum",1
"Cambajuva ulei",8
"Campomanesia adamantium",3
"Campomanesia aurea",13
"Campomanesia eugenioides",14
"Campomanesia guaviroba",33
"Campomanesia guazumifolia",66
"Campomanesia littoralis",22
"Campomanesia reitziana",52
"Campomanesia xanthocarpa",101
"Campovassouria cruciata",82
"Campuloclinium macrocephalum",19
"Campuloclinium purpurascens",3
"Campylocentrum aromaticum",19
"Campylocentrum crassirhizum",6
"Campylocentrum densiflorum",5
"Campylocentrum grisebachii",5
"Campylocentrum insulare",2
"Campylocentrum ornithorrhynchum",14
"Campylocentrum parahybunense",8
"Campylocentrum pauloense",7
"Campylocentrum schlechterianum",1
"Campylocentrum sellowii",10
"Campylocentrum spannagelii",7
"Campyloneurum acrocarpon",90
"Campyloneurum austrobrasilianum",123
"Campyloneurum decurrens",16
"Campyloneurum lapathifolium",6
"Campyloneurum minus",135
"Campyloneurum nitidum",567
"Campyloneurum rigidum",102
"Campylopus aemulans",1
"Campylopus angustiretis",1
"Campylopus griseus",2
"Campylopus julaceus",4
"Campylopus julicaulis",3
"Campylopus lamellinervis",2
"Campylopus occultus",9
"Campylopus richardii",2
"Campylopus trachyblepharon",3
"Canastra aristella",4
"Canavalia bonariensis",17
"Canavalia rosea",14
"Canistropsis billbergioides",16
"Canna indica",60
"Canna paniculata",21
"Canna pedunculata",1
"Cantinoa heterodon",9
"Cantinoa mutabilis",16
"Cantinoa stricta",2
"Capanemia gehrtii",2
"Capanemia micromera",14
"Capanemia superflua",8
"Capanemia thereziae",3
"Capparis flexuosa",1
"Capsicodendron dinisii",3
"Capsicum baccatum",9
"Capsicum flexuosum",56
"Capsicum recurvatum",23
"Cardiospermum grandiflorum",9
"Cardiospermum halicacabum",17
"Carex aureolensis",7
"Carex bonariensis",10
"Carex brasiliensis",52
"Carex catharinensis",9
"Carex distenta",1
"Carex feddeana",19
"Carex fuscula",13
"Carex longii",46
"Carex phalaroides",16
"Carex polysticha",15
"Carex pseudocyperus",2
"Carex purpureovaginata",4
"Carex sellowiana",35
"Carex seticulmis",8
"Carex sororia",35
"Carex uruguensis",6
"Carica quercifolia",3
"Cariniana estrellensis",5
"Casearia catharinensis",20
"Casearia decandra",92
"Casearia lasiophylla",6
"Casearia obliqua",42
"Casearia sylvestris",174
"Cassia leptophylla",14
"Castilleja arvensis",4
"Catasetum atratum",3
"Catasetum fimbriatum",2
"Catasetum socco",1
"Catopsis berteroniana",1
"Catopsis sessiliflora",4
"Cattleya cernua",1
"Cattleya coccinea",21
"Cattleya forbesii",4
"Cattleya guttata",2
"Cattleya intermedia",11
"Cattleya purpurata",1
"Cattleya tigrina",3
"Cayaponia biflora",3
"Cayaponia bonariensis",4
"Cayaponia cabocla",4
"Cayaponia martiana",10
"Cayaponia membranacea",1
"Cayaponia palmata",14
"Cayaponia pilosa",26
"Cayaponia trifoliolata",2
"Cayaponia trilobata",1
"Cecropia glaziovii",22
"Cecropia pachystachya",13
"Cedrela fissilis",47
"Cedrela odorata",4
"Ceiba speciosa",22
"Celosia grandifolia",95
"Celtis brasiliensis",3
"Celtis ehrenbergiana",2
"Celtis iguanaea",69
"Cenchrus echinatus",8
"Cenchrus incertus",5
"Cenchrus tribuloides",1
"Centratherum punctatum",26
"Centrolobium microchaete",9
"Centrosema brasilianum",1
"Centrosema virginianum",14
"Ceradenia albidula",12
"Ceradenia spixiana",5
"Ceratolejeunea cornuta",1
"Ceratolejeunea cubensis",2
"Ceratophyllum demersum",1
"Ceratopteris thalictroides",1
"Cereus hildmannianus",1
"Cestrum axillare",13
"Cestrum bracteatum",89
"Cestrum corymbosum",96
"Cestrum euanthes",8
"Cestrum intermedium",73
"Cestrum strigilatum",17
"Chaetogastra clinopodifolia",21
"Chaetogastra debilis",5
"Chaetogastra gracilis",14
"Chamaecrista desvauxii",19
"Chamaecrista flexuosa",4
"Chamaecrista nictitans",35
"Chamaecrista punctata",1
"Chamaecrista vestita",1
"Chamissoa acuminata",30
"Chamissoa altissima",38
"Chaptalia cordifolia",4
"Chaptalia exscapa",5
"Chaptalia graminifolia",11
"Chaptalia integerrima",12
"Chaptalia nutans",58
"Chaptalia piloselloides",1
"Chaptalia runcinata",8
"Chascolytrum ambiguum",11
"Chascolytrum bidentatum",6
"Chascolytrum brachychaetum",8
"Chascolytrum calotheca",76
"Chascolytrum erectum",4
"Chascolytrum juergensii",18
"Chascolytrum lamarckianum",22
"Chascolytrum latifolium",10
"Chascolytrum monandrum",10
"Chascolytrum poomorphum",14
"Chascolytrum rufum",8
"Chascolytrum subaristatum",42
"Chascolytrum uniolae",41
"Cheilanthes micropteris",7
"Cheiloclinium serratum",14
"Cheilolejeunea acutangula",3
"Cheilolejeunea rigidula",2
"Cheiroglossa palmata",31
"Chevreulia acuminata",8
"Chevreulia revoluta",3
"Chevreulia sarmentosa",12
"Chiloscyphus muricatus",1
"Chiloscyphus perissodontus",2
"Chiloscyphus platensis",3
"Chiococca alba",37
"Chionanthus filiformis",26
"Chiropetalum anisotrichum",14
"Chiropetalum phalacradenium",12
"Chiropetalum pilosistylum",1
"Chiropetalum tricoccum",5
"Chloris elata",6
"Chloris orthonoton",1
"Chloris pycnothrix",17
"Chomelia brasiliana",11
"Chomelia obtusa",5
"Chomelia parvifolia",3
"Chomelia pedunculosa",2
"Chonecolea doellingeri",4
"Christella conspersa",14
"Christella dentata",40
"Christella hispidula",23
"Christella patens",10
"Christensonella ferdinandiana",2
"Christensonella neowiedii",3
"Christensonella paranaensis",4
"Christensonella subulata",17
"Chromolaena ascendens",3
"Chromolaena congesta",20
"Chromolaena elliptica",5
"Chromolaena hirsuta",13
